"fips","pop2025","pop2020","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
51011,17186,16154,"Virginia","VA",0.06388510585613472,"Appomattox County","Appomattox County","virginia/appomattox-county",334,51.455089820359284,88
51029,16958,16828,"Virginia","VA",0.00772521987164243,"Buckingham County","Buckingham County","virginia/buckingham-county",580,29.23793103448276,89
51520,16541,17299,"Virginia","VA",-0.04381756170876927,"Bristol city","Bristol city","virginia/bristol-city",13,1272.3846153846155,90
51071,16507,16786,"Virginia","VA",-0.01662099368521386,"Giles County","Giles County","virginia/giles-county",357,46.23809523809524,91
51830,16171,15471,"Virginia","VA",0.0452459440243036,"Williamsburg city","Williamsburg city","virginia/williamsburg-city",9,1796.7777777777778,92
51063,15791,15470,"Virginia","VA",0.020749838396897147,"Floyd County","Floyd County","virginia/floyd-county",381,41.44619422572178,93
51043,15736,14814,"Virginia","VA",0.062238423113271324,"Clarke County","Clarke County","virginia/clarke-county",176,89.4090909090909,94
51685,15697,17162,"Virginia","VA",-0.08536301130404378,"Manassas Park city","Manassas Park city","virginia/manassas-park-city",3,5232.333333333333,95
51135,15588,15647,"Virginia","VA",-0.003770690867258897,"Nottoway County","Nottoway County","virginia/nottoway-county",314,49.64331210191083,96
51025,15585,15822,"Virginia","VA",-0.014979142965491077,"Brunswick County","Brunswick County","virginia/brunswick-county",566,27.535335689045937,97
51077,15205,15281,"Virginia","VA",-0.004973496498920205,"Grayson County","Grayson County","virginia/grayson-county",442,34.40045248868778,98
51610,15077,14681,"Virginia","VA",0.026973639397861238,"Falls Church city","Falls Church city","virginia/falls-church-city",2,7538.5,99
51125,14621,14740,"Virginia","VA",-0.008073270013568501,"Nelson County","Nelson County","virginia/nelson-county",471,31.042462845010615,100
51113,14368,13861,"Virginia","VA",0.03657744751460923,"Madison County","Madison County","virginia/madison-county",321,44.7601246105919,101
51005,14355,15180,"Virginia","VA",-0.05434782608695654,"Alleghany County","Alleghany County","virginia/alleghany-county",447,32.11409395973154,102
51690,13895,13474,"Virginia","VA",0.031245361436841312,"Martinsville city","Martinsville city","virginia/martinsville-city",11,1263.1818181818182,103
51007,13704,13267,"Virginia","VA",0.03293887088264125,"Amelia County","Amelia County","virginia/amelia-county",355,38.60281690140845,104
51051,13454,14074,"Virginia","VA",-0.04405286343612336,"Dickenson County","Dickenson County","virginia/dickenson-county",330,40.76969696969697,105
51735,12657,12473,"Virginia","VA",0.01475186402629669,"Poquoson city","Poquoson city","virginia/poquoson-city",15,843.8,106
51133,12617,11841,"Virginia","VA",0.06553500548940128,"Northumberland County","Northumberland County","virginia/northumberland-county",191,66.05759162303664,107
51111,12110,11947,"Virginia","VA",0.013643592533690407,"Lunenburg County","Lunenburg County","virginia/lunenburg-county",432,28.03240740740741,108
51131,12107,12213,"Virginia","VA",-0.008679276181118523,"Northampton County","Northampton County","virginia/northampton-county",212,57.10849056603774,109
